"Sex","Age"
"Female",64
"Female",27
"Female",55
"Female",65
"Female",27
"Female",22
"Female",25
"Female",33
"Male",62
"Male",72
"Male",36
"Male",62
"Female",70
"Female",60
"Female",80
"Female",23
"Female",50
"Female",74
"Female",54
"Female",23
"Female",65
"Male",61
"Female",22
"Female",95
"Male",22
"Male",25
"Female",79
"Male",76
"Female",37
"Female",23
"Female",28
"Female",52
"Female",84
"Female",33
"Female",22
"Female",71
"Male",26
"Female",68
"Male",62
"Female",19
"Female",54
"Female",27
"Male",33
"Female",27
"Male",35
"Female",84
"Male",25
"Male",22
"Female",21
"Female",77
"Female",62
"Male",21
"Female",20
"Female",29
"Male",23
"Female",56
"Female",82
"Female",21
"Male",21
"Female",21
"Male",29
"Female",94
"Female",23
"Female",22
"Female",74
"Female",71
"Male",55
"Male",53
"Male",24
"Male",60
"Female",64
"Male",53
"Female",55
"Male",31
"Female",25
"Male",52
"Male",23
"Male",32
"Female",65
"Male",82
"Female",21
"Female",86
"Female",24
"Male",21
"Male",22
"Female",23
"Female",72
"Female",75
"Female",77
"Male",21
"Female",83
"Female",88
"Female",20
"Female",75
"Male",22
"Female",21
"Male",60
"Male",23
"Male",22
"Male",81
"Female",26
"Male",64
"Female",76
"Female",57
"Male",30
"Female",26
"Female",76
"Male",80
"Female",69
"Female",19
"Female",81
"Male",19
"Female",61
"Male",26
"Female",55
"Male",53
"Female",24
"Female",57
"Female",86
"Female",79
"Female",27
"Female",26
"Male",76
"Male",21
"Male",27
"Female",71
"Male",34
"Female",55
"Female",25
"Male",30
"Female",25
"Male",23
"Female",21
"Female",70
"Female",69
"Male",70
"Female",76
"Female",76
"Female",73
"Male",59
"Female",73
"Female",83
"Male",32
"Female",20
"Female",28
"Female",74
"Female",74
"Female",72
"Female",69
"Female",22
"Female",88
"Female",89
"Female",59
"Female",72
"Female",24
"Female",
"Female",20
"Female",93
"Male",57
"Female",52
"Female",64
"Female",21
"Female",70
"Male",28
"Male",21
"Female",53
"Female",24
"Female",26
"Female",72
"Male",63
"Male",77
"Male",37
"Female",19
"Male",35
"Female",67
"Female",19
"Male",55
"Male",74
"Female",90
"Female",70
"Male",25
"Female",25
"Male",68
"Male",29
"Female",22
"Female",52
"Female",75
"Male",30
"Female",34
"Male",59
"Female",23
"Female",59
"Female",56
"Female",70
"Male",72
"Male",39
"Female",46
"Female",44
"Male",40
"Male",40
"Female",26
"Female",67
"Female",60
"Female",19
"Male",44
"Male",41
"Male",68
"Female",25
"Male",26
"Male",53
"Female",32
"Female",72
"Male",33
"Female",83
"Female",69
"Female",26
"Male",23
"Male",50
"Male",62
"Female",57
"Female",38
"Female",77
"Female",23
"Male",35
"Male",66
"Female",56
"Male",19
"Female",56
"Male",68
"Female",31
"Female",88
"Female",55
"Female",24
"Female",75
"Female",22
"Female",54
"Female",24
"Male",28
"Male",33
"Male",27
"Male",23
"Male",22
"Female",63
"Female",65
"Male",50
"Male",26
"Female",26
"Female",19
"Male",31
"Male",50
"Female",20
"Female",19
"Female",23
"Male",32
"Male",24
"Female",53
"Female",25
"Male",53
"Male",26
"Female",26
"Female",72
"Male",23
"Female",61
"Male",25
"Female",24
"Female",51
"Male",46
"Female",49
"Female",80
"Female",25
"Male",30
"Female",61
"Female",72
"Female",76
"Female",21
"Female",20
"Female",28
"Female",73
"Male",53
"Female",18
"Male",18
"Female",76
"Female",22
"Female",72
"Male",76
"Male",20
"Female",27
"Male",21
"Female",22
"Female",100
"Male",50
"Male",60
"Female",78
"Male",21
"Male",24
"Male",56
"Female",67
"Female",66
"Female",57
"Female",55
"Male",55
"Female",57
"Female",18
"Male",24
"Male",54
"Male",78
"Male",30
"Male",19
"Male",23
"Female",24
"Male",60
"Female",26
"Female",97
"Female",25
"Male",27
"Female",79
"Female",83
"Female",23
"Female",80
"Male",20
"Female",19
"Female",73
"Male",26
"Female",78
"Female",22
"Female",57
"Male",67
"Female",68
"Female",81
"Female",22
"Female",25
"Female",22
"Female",29
"Female",37
"Female",19
"Female",24
"Female",55
"Female",24
"Female",23
"Female",23
"Female",76
"Male",29
"Male",25
"Male",58
"Female",20
"Male",61
"Female",51
"Female",21
"Female",29
"Female",76
"Female",61
"Female",21
"Male",24
"Female",72
"Female",92
"Female",19
"Male",61
"Female",23
"Male",22
"Female",93
"Female",58
"Female",76
"Female",74
"Male",24
"Female",22
"Female",19
"Male",25
"Female",23
"Female",75
"Female",80
"Female",76
"Male",27
"Female",78
"Female",74
"Male",20
"Male",26
"Female",73
"Female",53
"Female",26
"Female",25
"Female",26
"Male",24
"Male",30
"Female",24
"Male",28
"Female",20
"Female",23
"Female",22
"Female",22
"Female",19
"Female",76
"Male",24
"Female",67
"Female",62
"Female",62
"Male",23
"Male",21
"Female",21
"Male",76
"Male",21
"Male",21
"Female",26
"Female",65
"Female",70
"Female",68
"Female",73
"Female",20
"Female",22
"Female",71
"Female",25
"Male",26
"Female",68
"Female",82
"Female",73
"Female",57
"Female",72
"Female",71
"Female",88
"Female",24
"Female",78
"Female",71
"Female",35
"Female",71
"Female",23
"Male",24
"Male",28
"Male",20
"Female",30
"Male",23
"Female",21
"Female",70
"Female",30
"Female",25
"Male",22
"Female",63
"Female",23
"Male",23
"Female",23
"Female",27
"Female",76
"Female",31
"Female",22
"Female",78
"Female",21
"Female",75
"Male",75
"Female",69
"Male",24
"Female",75
"Male",20
"Female",78
"Female",79
"Female",21
"Male",22
"Male",27
"Male",64
"Male",21
"Female",42
"Male",26
"Female",25
"Female",30
"Female",64
"Female",24
"Female",70
"Female",20
"Female",25
"Male",23
"Female",67
"Female",80
"Female",24
"Female",24
"Female",76
"Male",25
"Female",21
"Female",60
"Female",20
"Male",30
"Male",26
"Male",26
"Male",26
"Male",63
"Female",59
"Female",70
"Female",26
"Female",29
"Female",74
"Female",24
"Female",75
"Female",73
"Male",35
"Male",26
"Male",61
"Female",60
"Female",26
"Female",80
"Female",74
"Male",21
"Male",22
"Female",65
"Female",66
"Female",76
"Male",24
"Female",70
"Female",76
"Male",67
"Female",37
"Female",60
"Female",62
"Female",71
"Female",83
"Female",70
"Female",77
"Male",40
"Male",44
"Male",40
"Female",70
"Male",42
"Female",68
"Female",46
"Female",33
"Female",70
"Female",75
"Female",69
"Female",70
"Female",72
"Female",69
"Female",74
"Female",78
"Female",70
"Female",78
"Female",68
"Female",73
"Female",70
"Male",56
"Female",48
"Female",76
"Female",79
"Female",73
"Female",71
"Female",78
"Female",75
"Female",78
"Female",64
"Male",42
"Male",44
"Female",73
"Female",78
"Female",80
"Female",78
"Male",65
"Female",74
"Female",27
"Female",30
"Female",42
"Female",72
"Male",64
"Male",66
"Female",87
"Female",68
"Male",59
"Female",69
"Female",71
"Female",76
"Female",68
"Female",71
"Female",73
"Female",67
"Female",63
"Female",70
"Female",75
"Female",71
"Female",67
"Female",68
"Female",26
"Female",60
"Female",25
"Female",37
"Female",30
"Male",38
"Male",37
"Female",25
"Female",25
"Female",84
"Female",36
"Male",26
"Male",42
"Female",31
"Female",68
"Female",44
"Female",73
"Female",50
"Female",29
"Female",71
"Female",35
"Female",39
"Female",49
"Female",74
"Female",67
"Female",68
"Female",50
"Female",75
"Female",68
"Female",35
"Female",52
"Female",49
"Female",55
"Female",69
"Female",28
"Male",66
"Female",40
"Female",54
"Female",72
"Female",31
"Female",45
"Female",66
"Female",69
"Female",64
"Male",63
"Female",53
"Female",55
"Female",27
"Female",31
"Female",78
"Female",57
"Female",68
"Female",60
"Male",35
"Female",68
"Female",74
"Female",32
"Female",59
"Female",41
"Female",37
"Male",50
"Female",31
"Male",65
"Female",52
"Female",64
"Female",44
"Female",39
"Female",47
"Female",63
"Female",41
"Female",44
"Male",69
"Female",65
"Female",66
"Female",58
"Female",64
"Female",58
"Female",30.1
"Female",19.6
"Male",25.2
"Male",24.1
"Female",40.1
"Male",31.2
"Male",29.3
"Male",40.2
"Female",48.1
"Male",37
"Female",24.1
"Male",22.4
"Female",35.3
"Female",27.3
"Female",66.6
"Female",32.6
"Male",26.7
"Male",37
"Male",32
"Female",24
"Male",27
"Female",28
"Male",41
"Male",39
"Male",43
"Female",27
"Female",21
"Female",29
"Female",25
"Male",28
"Male",20
"Female",25
"Female",29
"Female",21
"Female",26
"Male",31
"Female",26
"Male",24
"Male",33
"Female",27
"Female",22
"Female",22
"Female",22
"Female",29
"Male",30
"Male",59
"Female",34
"Female",41
"Male",41
"Female",26
"Male",20
"Male",25
"Female",53
"Male",21
"Female",21
"Male",23
"Female",19
"Female",23
"Female",20
"Male",30
"Male",58
"Male",31
"Female",26
"Male",32
"Male",19
"Female",22
"Female",26
"Male",55
"Female",24
"Female",21
"Male",48
"Female",22
"Female",39
"Female",33
"Female",23
"Male",27
"Female",27
"Female",25
"Male",23
"Male",25
"Female",18
"Female",24
"Male",38
"Male",29
"Male",25
"Female",23
"Female",23
"Female",21
"Male",22
"Female",23
"Female",25
"Female",30
"Female",23
"Male",35
"Male",28
"Female",25
"Male",21
"Male",27
"Female",28
"Male",19
"Female",34
"Female",22
"Male",35
"Female",21
"Male",28
"Male",33
"Female",21
"Male",28
"Female",22
"Male",20
"Male",57
"Male",30
"Male",29
"Female",24
"Male",26
"Male",49
"Male",56
"Male",25
"Female",23
"Female",27
"Male",41
"Female",49
"Female",28
"Female",30
"Female",28
"Female",21
"Female",29
"Male",54
"Female",27
"Female",26
"Male",43
"Female",55
"Male",34
"Male",53
"Female",29
"Male",34
"Female",31
"Female",33
"Male",44
"Female",39
"Female",25
"Female",35.7
"Male",35.1
"Male",29.5
"Female",19.3
"Male",33.2
"Female",25.9
"Male",30
"Male",35.7
"Female",23.8
"Female",24.4
"Female",28.9
"Female",24.5
"Female",22.1
"Male",27.8
"Female",30.2
"Female",29.1
"Male",25.6
"Male",22.7
"Male",26.7
"Female",32.8
"Male",39.6
"Male",36.3
"Female",31.3
"Female",32.4
"Male",32.4
"Male",29.5
"Female",28.1
"Female",28.6
"Female",23.4
"Female",21.6
"Female",26.1
"Female",27.2
"Male",33
"Male",33
"Female",26
"Male",31
"Female",19
"Female",33
"Female",22
"Male",27
"Female",29
"Male",61
"Female",24
"Female",25
"Female",21
"Female",26
"Female",21
"Male",27
"Female",26
"Male",27
"Male",48
"Male",19
"Male",20
"Male",19
"Female",32
"Male",27
"Male",39
"Male",25
"Male",26
"Male",33
"Female",32
"Male",29
"Male",28.8
"Male",26
"Male",26
"Female",27
"Female",40
"Female",19
"Female",20
"Male",21
"Female",19
"Male",36
"Male",25
"Male",27.4
"Male",37
"Female",44
"Male",51
