"Sex","Age"
1,64
1,27
1,55
1,65
1,27
1,22
1,25
1,33
0,62
0,72
0,36
0,62
1,70
1,60
1,80
1,23
1,50
1,74
1,54
1,23
1,65
0,61
1,22
1,95
0,22
0,25
1,79
0,76
1,37
1,23
1,28
1,52
1,84
1,33
1,22
1,71
0,26
1,68
0,62
1,19
1,54
1,27
0,33
1,27
0,35
1,84
0,25
0,22
1,21
1,77
1,62
0,21
1,20
1,29
0,23
1,56
1,82
1,21
0,21
1,21
0,29
1,94
1,23
1,22
1,74
1,71
0,55
0,53
0,24
0,60
1,64
0,53
1,55
0,31
1,25
0,52
0,23
0,32
1,65
0,82
1,21
1,86
1,24
0,21
0,22
1,23
1,72
1,75
1,77
0,21
1,83
1,88
1,20
1,75
0,22
1,21
0,60
0,23
0,22
0,81
1,26
0,64
1,76
1,57
0,30
1,26
1,76
0,80
1,69
1,19
1,81
0,19
1,61
0,26
1,55
0,53
1,24
1,57
1,86
1,79
1,27
1,26
0,76
0,21
0,27
1,71
0,34
1,55
1,25
0,30
1,25
0,23
1,21
1,70
1,69
0,70
1,76
1,76
1,73
0,59
1,73
1,83
0,32
1,20
1,28
1,74
1,74
1,72
1,69
1,22
1,88
1,89
1,59
1,72
1,24
1,40
1,20
1,93
0,57
1,52
1,64
1,21
1,70
0,28
0,21
1,53
1,24
1,26
1,72
0,63
0,77
0,37
1,19
0,35
1,67
1,19
0,55
0,74
1,90
1,70
0,25
1,25
0,68
0,29
1,22
1,52
1,75
0,30
1,34
0,59
1,23
1,59
1,56
1,70
0,72
0,39
1,46
1,44
0,40
0,40
1,26
1,67
1,60
1,19
0,44
0,41
0,68
1,25
0,26
0,53
1,32
1,72
0,33
1,83
1,69
1,26
0,23
0,50
0,62
1,57
1,38
1,77
1,23
0,35
0,66
1,56
0,19
1,56
0,68
1,31
1,88
1,55
1,24
1,75
1,22
1,54
1,24
0,28
0,33
0,27
0,23
0,22
1,63
1,65
0,50
0,26
1,26
1,19
0,31
0,50
1,20
1,19
1,23
0,32
0,24
1,53
1,25
0,53
0,26
1,26
1,72
0,23
1,61
0,25
1,24
1,51
0,46
1,49
1,80
1,25
0,30
1,61
1,72
1,76
1,21
1,20
1,28
1,73
0,53
1,18
0,18
1,76
1,22
1,72
0,76
0,20
1,27
0,21
1,22
1,100
0,50
0,60
1,78
0,21
0,24
0,56
1,67
1,66
1,57
1,55
0,55
1,57
1,18
0,24
0,54
0,78
0,30
0,19
0,23
1,24
0,60
1,26
1,97
1,25
0,27
1,79
1,83
1,23
1,80
0,20
1,19
1,73
0,26
1,78
1,22
1,57
0,67
1,68
1,81
1,22
1,25
1,22
1,29
1,37
1,19
1,24
1,55
1,24
1,23
1,23
1,76
0,29
0,25
0,58
1,20
0,61
1,51
1,21
1,29
1,76
1,61
1,21
0,24
1,72
1,92
1,19
0,61
1,23
0,22
1,93
1,58
1,76
1,74
0,24
1,22
1,19
0,25
1,23
1,75
1,80
1,76
0,27
1,78
1,74
0,20
0,26
1,73
1,53
1,26
1,25
1,26
0,24
0,30
1,24
0,28
1,20
1,23
1,22
1,22
1,19
1,76
0,24
1,67
1,62
1,62
0,23
0,21
1,21
0,76
0,21
0,21
1,26
1,65
1,70
1,68
1,73
1,20
1,22
1,71
1,25
0,26
1,68
1,82
1,73
1,57
1,72
1,71
1,88
1,24
1,78
1,71
1,35
1,71
1,23
0,24
0,28
0,20
1,30
0,23
1,21
1,70
1,30
1,25
0,22
1,63
1,23
0,23
1,23
1,27
1,76
1,31
1,22
1,78
1,21
1,75
0,75
1,69
0,24
1,75
0,20
1,78
1,79
1,21
0,22
0,27
0,64
0,21
1,42
0,26
1,25
1,30
1,64
1,24
1,70
1,20
1,25
0,23
1,67
1,80
1,24
1,24
1,76
0,25
1,21
1,60
1,20
0,30
0,26
0,26
0,26
0,63
1,59
1,70
1,26
1,29
1,74
1,24
1,75
1,73
0,35
0,26
0,61
1,60
1,26
1,80
1,74
0,21
0,22
1,65
1,66
1,76
0,24
1,70
1,76
0,67
1,37
1,60
1,62
1,71
1,83
1,70
1,77
0,40
0,44
0,40
1,70
0,42
1,68
1,46
1,33
1,70
1,75
1,69
1,70
1,72
1,69
1,74
1,78
1,70
1,78
1,68
1,73
1,70
0,56
1,48
1,76
1,79
1,73
1,71
1,78
1,75
1,78
1,64
0,42
0,44
1,73
1,78
1,80
1,78
0,65
1,74
1,27
1,30
1,42
1,72
0,64
0,66
1,87
1,68
0,59
1,69
1,71
1,76
1,68
1,71
1,73
1,67
1,63
1,70
1,75
1,71
1,67
1,68
1,26
1,60
1,25
1,37
1,30
0,38
0,37
1,25
1,25
1,84
1,36
0,26
0,42
1,31
1,68
1,44
1,73
1,50
1,29
1,71
1,35
1,39
1,49
1,74
1,67
1,68
1,50
1,75
1,68
1,35
1,52
1,49
1,55
1,69
1,28
0,66
1,40
1,54
1,72
1,31
1,45
1,66
1,69
1,64
0,63
1,53
1,55
1,27
1,31
1,78
1,57
1,68
1,60
0,35
1,68
1,74
1,32
1,59
1,41
1,37
0,50
1,31
0,65
1,52
1,64
1,44
1,39
1,47
1,63
1,41
1,44
0,69
1,65
1,66
1,58
1,64
