"label_number","label_abbrev_name","label_full_name","hemisphere","type","value"
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left","mean",1.6674302816391
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left","std",0.772791564464569
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left","min",0.322645574808121
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left",25.00%,1.20304298400879
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left",50.00%,1.51767617464066
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left",75.00%,1.90922936797142
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left","max",4.44393968582153
1,"LH_VisCent_ExStr_1","17Networks_LH_VisCent_ExStr_1","left","volume",2767.77541912
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left","mean",3.03474307060242
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left","std",0.634585916996002
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left","min",1.40851032733917
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left",25.00%,2.7239830493927
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left",50.00%,3.18682670593262
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left",75.00%,3.49693977832794
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left","max",4.16926527023315
2,"LH_VisCent_ExStr_2","17Networks_LH_VisCent_ExStr_2","left","volume",1543.16355208
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left","mean",1.54134225845337
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left","std",0.461960047483444
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left","min",0.553298354148865
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left",25.00%,1.21377167105675
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left",50.00%,1.66614484786987
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left",75.00%,1.84666019678116
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left","max",2.50534200668335
3,"LH_VisCent_Striate_1","17Networks_LH_VisCent_Striate_1","left","volume",1026.23237456
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left","mean",2.55790758132935
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left","std",0.925809502601624
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left","min",0.428341954946518
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left",25.00%,1.85361343622208
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left",50.00%,2.57563614845276
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left",75.00%,3.18406027555466
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left","max",4.40230369567871
4,"LH_VisCent_ExStr_3","17Networks_LH_VisCent_ExStr_3","left","volume",1987.60991504
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left","mean",3.00563883781433
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left","std",0.744406759738922
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left","min",0.869895935058594
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left",25.00%,2.4282591342926
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left",50.00%,3.07152390480041
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left",75.00%,3.66365742683411
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left","max",4.82855224609375
5,"LH_VisCent_ExStr_4","17Networks_LH_VisCent_ExStr_4","left","volume",2774.45165204
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left","mean",1.83104491233826
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left","std",0.736712515354157
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left","min",0.201155737042427
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left",25.00%,1.2622281908989
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left",50.00%,1.86338543891907
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left",75.00%,2.44058513641357
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left","max",3.25047755241394
6,"LH_VisCent_ExStr_5","17Networks_LH_VisCent_ExStr_5","left","volume",2056.27973936
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left","mean",3.65939784049988
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left","std",0.942533075809479
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left","min",0.354771763086319
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left",25.00%,3.06758046150208
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left",50.00%,3.75728762149811
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left",75.00%,4.34178161621094
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left","max",5.58688640594482
7,"LH_VisPeri_ExStrInf_1","17Networks_LH_VisPeri_ExStrInf_1","left","volume",1527.90359112
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left","mean",2.33156824111938
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left","std",0.831465601921081
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left","min",0.254824429750442
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left",25.00%,1.65885031223297
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left",50.00%,2.24316740036011
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left",75.00%,3.1379919052124
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left","max",4.20302581787109
8,"LH_VisPeri_ExStrInf_2","17Networks_LH_VisPeri_ExStrInf_2","left","volume",660.94705908
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left","mean",2.83806467056274
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left","std",0.759204864501953
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left","min",0.819845914840698
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left",25.00%,2.36775237321854
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left",50.00%,3.0129142999649
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left",75.00%,3.39113283157349
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left","max",4.27820110321045
9,"LH_VisPeri_ExStrInf_3","17Networks_LH_VisPeri_ExStrInf_3","left","volume",520.74616776
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left","mean",2.60309815406799
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left","std",0.776358902454376
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left","min",0.069256998598576
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left",25.00%,2.04564839601517
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left",50.00%,2.53298604488373
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left",75.00%,3.31440675258636
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left","max",4.33828735351563
10,"LH_VisPeri_StriCal_1","17Networks_LH_VisPeri_StriCal_1","left","volume",993.80495752
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left","mean",2.04959273338318
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left","std",0.755731761455536
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left","min",0.746313333511353
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left",25.00%,1.51097851991653
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left",50.00%,1.99786984920502
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left",75.00%,2.67242252826691
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left","max",3.49260878562927
11,"LH_VisPeri_ExStrSup_1","17Networks_LH_VisPeri_ExStrSup_1","left","volume",387.22150936
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left","mean",2.16166424751282
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left","std",0.424035966396332
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left","min",0.636837482452393
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left",25.00%,1.97224587202072
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left",50.00%,2.16277813911438
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left",75.00%,2.310826420784
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left","max",3.45187163352966
12,"LH_VisPeri_ExStrSup_2","17Networks_LH_VisPeri_ExStrSup_2","left","volume",1582.26720204
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left","mean",1.85108041763306
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left","std",0.518730401992798
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left","min",0.415598839521408
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left",25.00%,1.50697976350784
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left",50.00%,1.92568302154541
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left",75.00%,2.22810900211334
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left","max",2.88536882400513
13,"LH_SomMotA_1","17Networks_LH_SomMotA_1","left","volume",880.30899788
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left","mean",1.65894019603729
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left","std",0.488643109798431
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left","min",0.245383232831955
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left",25.00%,1.27978873252869
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left",50.00%,1.70077788829803
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left",75.00%,2.05873394012451
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left","max",2.53621554374695
14,"LH_SomMotA_2","17Networks_LH_SomMotA_2","left","volume",859.32655156
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left","mean",1.73420643806458
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left","std",0.48570066690445
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left","min",0.617913663387299
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left",25.00%,1.38856145739555
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left",50.00%,1.79643279314041
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left",75.00%,2.09473013877869
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left","max",2.71832942962646
15,"LH_SomMotA_3","17Networks_LH_SomMotA_3","left","volume",1146.40456712
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left","mean",2.49813079833984
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left","std",0.607516348361969
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left","min",0.624357163906097
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left",25.00%,2.14672791957855
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left",50.00%,2.63483309745789
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left",75.00%,2.90125954151154
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left","max",3.57942867279053
16,"LH_SomMotA_4","17Networks_LH_SomMotA_4","left","volume",769.67428092
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left","mean",1.78312659263611
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left","std",0.968096017837524
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left","min",0.287588685750961
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left",25.00%,1.09619307518005
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left",50.00%,1.69196331501007
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left",75.00%,2.17031264305115
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left","max",4.73968744277954
17,"LH_SomMotA_5","17Networks_LH_SomMotA_5","left","volume",382.45277156
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left","mean",2.99859380722046
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left","std",0.843469798564911
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left","min",0.885594367980957
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left",25.00%,2.55249619483948
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left",50.00%,3.17500996589661
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left",75.00%,3.57471013069153
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left","max",4.41645336151123
18,"LH_SomMotA_6","17Networks_LH_SomMotA_6","left","volume",836.43661012
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left","mean",2.62164998054504
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left","std",1.12382435798645
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left","min",0.32966023683548
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left",25.00%,1.71132200956345
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left",50.00%,2.54540324211121
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left",75.00%,3.59611868858337
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left","max",4.99278974533081
19,"LH_SomMotA_7","17Networks_LH_SomMotA_7","left","volume",1630.9083276
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left","mean",2.90741205215454
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left","std",1.14134442806244
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left","min",0.672741711139679
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left",25.00%,1.90997615456581
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left",50.00%,3.17689311504364
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left",75.00%,3.79386383295059
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left","max",4.80155658721924
20,"LH_SomMotA_8","17Networks_LH_SomMotA_8","left","volume",198.37949248
21,"LH_SomMotB_Aud_1","17Networks_LH_SomMotB_Aud_1","left","mean",2.57824659347534
21,"LH_SomMotB_Aud_1","17Networks_LH_SomMotB_Aud_1","left","std",0.764914572238922
21,"LH_SomMotB_Aud_1","17Networks_LH_SomMotB_Aud_1","left","min",0.367117941379547
21,"LH_SomMotB_Aud_1","17Networks_LH_SomMotB_Aud_1","left",25.00%,2.19544851779938
21,"LH_SomMotB_Aud_1","17Networks_LH_SomMotB_Aud_1","left",50.00%,2.81675136089325
